address	categories	city	country	latitude	longitude	name	postalCode	province	reviews.date	reviews.dateAdded	reviews.doRecommend	reviews.id	reviews.rating	reviews.text	reviews.title	reviews.userCity	reviews.username	reviews.userProvince
133 Holiday Ln	Hotels & Motels	Jellico	US	36.580692	-84.113282	Parkway Inn Jellico	37762	TN	2014-10-12T05:00:00Z	2016-10-26T21:14:05Z			2.4	"The lampshade was torn up. The blankets had holes burned in them, and other stains. All"				
133 Holiday Ln	Hotels & Motels	Jellico	US	36.580692	-84.113282	Parkway Inn Jellico	37762	TN	2014-09-11T05:00:00Z	2016-10-26T21:14:05Z			2.4	my stay was fine				
1835 Columbia St	Hotels	San Diego	US	32.724488	-117.167651	Porto Vista Hotel	92101	CA	2014-04-05T00:00:00Z	2016-11-05T19:37:51Z			1.3	Careful when booking! My Fiance and I hosted our engagement party at this venue. We we're very excited and reserved half of the venue for 3 hours of drinks and appetizers for family and friends. We are very disappointed with the service that we got from the event coordinator. During the booking process and contract stage she messed up sending me the wrong party information (BEO) and date several times. The night started and there was a miscommunication with the coordinator and the bar staff. For half the event our guests we told they could not order certain drinks from the bar that we had paid for! This was very embarrassing to us knowing that our 60+ guests we're told they could only order bud and bud lt when we had specifically talked about offering all draft beer + bud and bud lt. Secondly we were told we would have our own bartender to take care of our group seeing as there were 60 people at the event. We only saw 2 bartenders behind the bar 3 times that night. Most of the time there was only 1 bartender for the whole bar and had several people mention how long it took to get a drink. Long story short it is a pretty venue but you do not want to host an event here. The service is absolutely horrible. Even after the event when I brought up the issues I figured they would help us out with a discount or gift card and all they offered us was a buy 1 get 1 free coupon to brunch!			Ceci	
5500 28th St S E	Hotels	Grand Rapids	US	42.91294	-85.5323	Best Western Hospitality Hotel and Suites	49512	MI	2005-08-06T00:00:00Z	2016-11-02T00:15:09Z			2.8	"Great venue for our reception. It was not too expensive, it looked formal, and the food was great."	Stay here for ArtPrize	Flint	Amanda	IN
3320 Mesa Rd	"Golf Courses - Private,Hotels,Resorts"	Colorado Springs	US	38.88037	-104.8682	Garden of The Gods Club & Resort	80904-1036	CO	2015-06-20T00:00:00Z	2016-10-28T20:29:21Z			1.5	"Lack of communication was a huge problem with this venue. I initially began the planning process with one wonderfully professional catering manager. She was fired from this venue and I was never informed of this. The successive catering manager was NOT responsive, did not return my calls in a timely manner, and was extremely arrogant. We had problems with our room reservations, late check out communication and a not much was done to accommodate the challenges that we experienced. We spent more than $31,000.00 and were very displeased with The Garden of the Gods Club. We even endured disrespectful comments from club members concerning wedding party members. Their claim to fame is the beautiful background setting...The Garden of the Gods...I was extremely disappointed with their service."	2nd visit	Colorado Springs	Barb	CO
1005 Belmont St	"Hotels,Lodging,Motels,Hotel"	Brockton	US	42.063783	-71.057816	Rodeway Inn	2301	MA	2014-10-08T05:00:00Z	2016-05-25T04:55:51Z			2.4	Was suppost to be a quality inn. Was not told of a change until i got there. There was				
1005 Belmont St	"Hotels,Lodging,Motels,Hotel"	Brockton	US	42.063783	-71.057816	Rodeway Inn	2301	MA	2014-07-18T05:00:00Z	2016-05-25T04:55:51Z			2.4	"it was a terriable expeirence, they should blow it up"				
2607 Atlantic Ave	Hotels	Virginia Beach	US	36.85497235	-75.97641885	Holiday Inn Express Hotel and Suites Va Beach Oceanfront	23451	VA	2016-06-17T00:00:00Z	2016-10-30T21:12:22Z			2.5	Parking was atrocious Iron did not work Iron holder fell from wall Ironing board is flimsy and dangerous Grab bars in shower are loose Shower head is cheap Security latch on sliding door falling off Breakfast eggs were inedible Not much	VB disappointment	Hagerstown	Joe	VA
2607 Atlantic Ave	Hotels	Virginia Beach	US	36.85497235	-75.97641885	Holiday Inn Express Hotel and Suites Va Beach Oceanfront	23451	VA	2016-10-01T00:00:00Z	2016-10-30T21:12:22Z			2.5	Nothing	Bad very bad	Stafford	Estefany	VA
2607 Atlantic Ave	Hotels	Virginia Beach	US	36.85497235	-75.97641885	Holiday Inn Express Hotel and Suites Va Beach Oceanfront	23451	VA	2015-06-23T00:00:00Z	2016-10-30T21:12:22Z			2.9	Got kicked out of our room for a whole night and no one wanted to help. The front desk was rude and complacent. The air conditioner did not work in our room either. The beach was great and you are by a lot of stuff to do.	horrible service	Washington	Brittany	VA
3005 Franklin Blvd	"Hotel, Conference Room, and Meeting Room South Eugene,Travel and Tourism,Extended Stay,Hotels,Hotel,Bed and Breakfast,Motels,Hotels and Lodging"	Eugene	US	44.04401959	-123.0476193	Candlewood Suites Eugene Springfield	97403	OR	2015-03-01T00:00:00Z	2016-11-06T04:14:25Z			2.5	Everything Nothing	wrong information on Internet	Wamboin	Joseph	OR
