address	categories	city	country	latitude	longitude	name	postalCode	province	reviews.date	reviews.dateAdded	reviews.doRecommend	reviews.id	reviews.rating	reviews.text	reviews.title	reviews.userCity	reviews.username	reviews.userProvince
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-01-12T00:00:00Z	2016-11-11T23:48:28Z			10	"None what so ever. The staff were all friendly whether at the 6th floor, Reception Area at the 3rd floor or at the Rox an Italian restaurant especially Mr.Milan who was very friendly courteous."	"The staff were all friendly whether at the 6th floor,..."		Hassan	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2015-06-22T00:00:00Z	2016-11-11T23:48:28Z			10	Friendly staff in a beautiful setting combined with excellent value for money.	Lovely place and business as usual.		Anonymous	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-08-06T00:00:00Z	2016-11-11T23:48:28Z			10	Staff was amazing. So cheerful and helpful. I loved the food as well. Room service is quick. For quite a big order took only 30 minutes.	Amazing hotel!!!		Artur	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-09-20T00:00:00Z	2016-11-11T23:48:28Z			10	reception desk should explain things a little more in detail on check in Service excellence friendly	Lovely choice of hotel		Happy	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-07-12T00:00:00Z	2016-11-11T23:48:28Z			10	The control system of room A/C should be looked into. Temperature reduction system is not working properly as shown on the control panel. Overall hotel management service is noteworthy. Trip to airport at the time of departure kept me out of anxiety.	"A pleasant and highly comfortable stay. at Hyatt Regency, Kathmandu"		Sultan	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-06-30T00:00:00Z	2016-11-11T23:48:28Z			10	Nothing as such. The city is in a bad shape and the pollution and dirt doesnot allow you to roam much but the resort was fantastic. Swimming Pool and Jogging Track was a delight. Casino Pride was also amazing.	Excellent stay		Ravi	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2015-08-09T00:00:00Z	2016-11-11T23:48:28Z			10	nothing Everythings	very gud hotal		Sanjay	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-09-11T00:00:00Z	2016-11-11T23:48:28Z			10	Nothing Everything	Everything		Eman	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-08-09T00:00:00Z	2016-11-11T23:48:28Z			10	"I wish Rox Restaurant was open for more hours because of how fantastic the food is. Very helpful staff members, excellent quality and facilities. Baldev in particular was extremely helpful and attentive."	Excellent hospitality		Dalia	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-08-03T00:00:00Z	2016-11-11T23:48:28Z			10	Staff are very good and I would like to go again	They take care of you like family		Navin	
Taragaon Boudha	Hotels	Alliance	US	27.7216	85.355959	Hyatt Regency Kathmandu	44601	OH	2016-06-10T00:00:00Z	2016-11-11T23:48:28Z			10	"A lot of noise from the other bathrooms all around. Very disappointing when you can hear all the details people do in there. The bedroom was fabulous with a very large comfortable bed, the bathroom instilled a real sense of calm in me with a luxurious sized bath and a large walk-in shower. The breakfast room was immensely superb with high ceilingwith a vast selection of foods. The swimming pool is a good size and I love it being outdoors. The 24hr gym is well equipped and I had a great massage in the spa."	Happy at the Hyatt		Anonymous	
2645 N W Inlet Ave	"Hotels,Lodging,Hotel,Motels"	Lincoln City	US	44.98465469	-124.0137872	Pelican Shores Inn	97367	OR	2015-10-20T00:00:00Z	2016-11-17T14:29:44Z			10	I like the vanity area in the bedroom so I can get hair and makeup ready out of the way. The layout of the rooms seems more like an apartment than a hotel room. And love the fireplace next to the excellent view of the beach.	Can't wait to come back next year!		Mary	
2645 N W Inlet Ave	"Hotels,Lodging,Hotel,Motels"	Lincoln City	US	44.98465469	-124.0137872	Pelican Shores Inn	97367	OR	2016-09-29T00:00:00Z	2016-11-17T14:29:44Z			10	The only thing was the coffee maker took about half hour to drip The bed was really comfortable.The view was spectacular lovely sitting outside on the deck having a glass of wine.We also loved the pool	Best place ever		Linda	
2645 N W Inlet Ave	"Hotels,Lodging,Hotel,Motels"	Lincoln City	US	44.98465469	-124.0137872	Pelican Shores Inn	97367	OR	2016-04-02T00:00:00Z	2016-11-17T14:29:44Z			10	"ONLY issue - There was no place to sit and eat breakfast. It was a very congested area, where you had to pick up food and then take it back to your room to eat. Great view of the ocean, a nice patio we could sit outside and listen to the waves hit the shore. Immediate beach access. Very comfy bed, nice heavy curtains so it was dark and restful. Breakfast choices were good. Loved it."	"Fantastic view - Wonderful, quiet place to relax and enjoy the ocean."		Happy	
2645 N W Inlet Ave	"Hotels,Lodging,Hotel,Motels"	Lincoln City	US	44.98465469	-124.0137872	Pelican Shores Inn	97367	OR	2014-10-01T00:00:00Z	2016-11-17T14:29:44Z			10	the view from the third floor is great. saw a whale passing by this evening!	"Fantastic view - Wonderful, quiet place to relax and enjoy the ocean."		Diana Suddreth	
