,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.date,reviews.dateAdded,reviews.doRecommend,reviews.id,reviews.rating,reviews.text,reviews.title,reviews.userCity,reviews.username,reviews.userProvince,Sentiment
4449,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2016-01-12T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,"None what so ever. The staff were all friendly whether at the 6th floor, Reception Area at the 3rd floor or at the Rox an Italian restaurant especially Mr.Milan who was very friendly courteous.","The staff were all friendly whether at the 6th floor,...",,Hassan,,
4450,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2015-06-22T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,Friendly staff in a beautiful setting combined with excellent value for money.,Lovely place and business as usual.,,Anonymous,,
4454,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2016-08-06T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,Staff was amazing. So cheerful and helpful. I loved the food as well. Room service is quick. For quite a big order took only 30 minutes.,Amazing hotel!!!,,Artur,,
4464,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2016-09-20T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,reception desk should explain things a little more in detail on check in Service excellence friendly,Lovely choice of hotel,,Happy,,
4466,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2016-07-12T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,The control system of room A/C should be looked into. Temperature reduction system is not working properly as shown on the control panel. Overall hotel management service is noteworthy. Trip to airport at the time of departure kept me out of anxiety.,"A pleasant and highly comfortable stay. at Hyatt Regency, Kathmandu",,Sultan,,
4487,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2016-06-30T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,Nothing as such. The city is in a bad shape and the pollution and dirt doesnot allow you to roam much but the resort was fantastic. Swimming Pool and Jogging Track was a delight. Casino Pride was also amazing.,Excellent stay,,Ravi,,
4491,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2015-08-09T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,nothing Everythings,very gud hotal,,Sanjay,,
4495,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2016-09-11T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,Nothing Everything,Everything,,Eman,,
4500,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2016-08-09T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,"I wish Rox Restaurant was open for more hours because of how fantastic the food is. Very helpful staff members, excellent quality and facilities. Baldev in particular was extremely helpful and attentive.",Excellent hospitality,,Dalia,,
4501,Taragaon Boudha,Hotels,Alliance,US,27.7216,85.355959,Hyatt Regency Kathmandu,44601,OH,2016-08-03T00:00:00Z,2016-11-11T23:48:28Z,,,10.0,Staff are very good and I would like to go again,They take care of you like family,,Navin,,
